time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-31T23:50:35.500Z,52.317,160.552,33,4.3,mb,14,,,1.16,us,usp000a708,2014-11-07T01:11:48.035Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,3,reviewed,us,us
2000-12-31T08:56:39.780Z,44.653,147.918,100,4.5,mb,20,,,0.7,us,usp000a6zj,2014-11-07T01:11:47.929Z,"Kuril Islands",earthquake,,,,2,reviewed,us,us
2000-12-30T22:51:44.470Z,36.374,71.126,123.4,4.6,mb,29,,,0.82,us,usp000a6yr,2014-11-07T01:11:47.553Z,"Hindu Kush region, Afghanistan",earthquake,,8.8,,7,reviewed,us,us
2000-12-30T15:07:08.270Z,39.669,54.81,10,4.9,mb,149,,,1.04,us,usp000a6xz,2014-11-07T01:11:47.479Z,"Turkmenistan",earthquake,,,,66,reviewed,us,us
2000-12-30T11:47:19.920Z,51.525,159.333,47.9,4.8,mb,63,,,1.21,us,usp000a6xq,2014-11-07T01:11:47.457Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,20,reviewed,us,us
2000-12-29T12:35:45.410Z,37.653,69.612,62.8,4.3,mb,17,,,1.01,us,usp000a6w3,2014-11-07T01:11:47.299Z,"Tajikistan",earthquake,,15.9,,3,reviewed,us,us
2000-12-29T04:08:22.110Z,39.364,53.891,33,4.2,mb,22,,,1.05,us,usp000a6vp,2014-11-07T01:11:47.258Z,"Turkmenistan",earthquake,,,,5,reviewed,us,us
2000-12-28T10:00:02.870Z,36.849,20.197,33,4.1,mb,58,,,1.19,us,usp000a6ub,2014-11-07T01:11:46.949Z,"central Mediterranean Sea",earthquake,,,,2,reviewed,us,us
2000-12-28T07:54:47.320Z,43.175,147.77,68.4,4.4,mb,26,,,1.28,us,usp000a6u6,2014-11-07T01:11:46.935Z,"Kuril Islands",earthquake,,15.8,,7,reviewed,us,us
2000-12-28T05:24:53.430Z,34.2,139.108,33,4.6,mb,18,,,1.19,us,usp000a6u1,2014-11-07T01:11:46.925Z,"near the south coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us
2000-12-28T04:25:12.150Z,34.045,139.16,33,4,mb,11,,,1,us,usp000a6tx,2014-11-07T01:11:46.898Z,"near the south coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2000-12-27T16:44:40.480Z,36.562,71.299,223.9,4,mb,16,,,0.69,us,usp000a6tb,2014-11-07T01:11:46.854Z,"Hindu Kush region, Afghanistan",earthquake,,,,4,reviewed,us,us
2000-12-27T05:22:36.870Z,35.984,70.535,91,4.2,mb,14,,,0.72,us,usp000a6sj,2014-11-07T01:11:46.750Z,"Hindu Kush region, Afghanistan",earthquake,,18.4,,3,reviewed,us,us
2000-12-26T22:12:47.090Z,44.557,148.173,33,4.8,mb,76,,,0.88,us,usp000a6sc,2014-11-07T01:11:46.729Z,"Kuril Islands",earthquake,,,,37,reviewed,us,us
2000-12-26T17:43:19.530Z,37.186,104.054,33,4.2,mb,19,,,1.34,us,usp000a6s1,2014-11-07T01:11:46.510Z,"Nei Mongol-Ningxia-Gansu region, China",earthquake,,,,3,reviewed,us,us
2000-12-26T15:52:41.300Z,43.264,143.992,100,4.1,mb,13,,,0.69,us,usp000a6rz,2014-11-07T01:11:46.506Z,"Hokkaido, Japan region",earthquake,,,,2,reviewed,us,us
2000-12-26T10:22:13.280Z,48.595,92.772,10,4.5,mb,32,,,1.01,us,usp000a6rp,2014-11-07T01:11:46.470Z,"western Mongolia",earthquake,,,,7,reviewed,us,us
2000-12-25T20:43:11.810Z,51.301,179.967,55.1,5,mb,147,,,0.96,us,usp000a6qy,2020-02-20T20:31:44.084Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,6.8,,61,reviewed,us,us
2000-12-25T18:42:24.600Z,71.943,0.54,10,4.1,mb,10,,,0.79,us,usp000a6qs,2014-11-07T01:11:46.386Z,"Norwegian Sea",earthquake,,,,3,reviewed,us,us
2000-12-25T03:50:27.900Z,73.233,13.218,10,4.2,mb,39,,,1.33,us,usp000a6pt,2014-11-07T01:11:46.232Z,"Norwegian Sea",earthquake,,,,11,reviewed,us,us
2000-12-25T03:00:15.440Z,40.278,50.091,33,4.4,mb,39,,,0.87,us,usp000a6ps,2014-11-07T01:11:46.228Z,"Caspian Sea, offshore Azerbaijan",earthquake,,,,21,reviewed,us,us
2000-12-24T11:30:47.500Z,38.615,40.259,10,4.6,mb,76,,,1.13,us,usp000a6nf,2014-11-07T01:11:46.117Z,"eastern Turkey",earthquake,,,,37,reviewed,us,us
2000-12-23T19:58:49.780Z,37.286,57.966,33,4.3,mb,14,,,1.42,us,usp000a6mg,2014-11-07T01:11:46.018Z,"Turkmenistan-Iran border region",earthquake,,,,2,reviewed,us,us
2000-12-23T08:24:45.590Z,40.255,50.122,33,4,mb,24,,,1.13,us,usp000a6kr,2014-11-07T01:11:45.971Z,"Caspian Sea, offshore Azerbaijan",earthquake,,,,4,reviewed,us,us
2000-12-22T22:38:11.500Z,35.32,23.54,5,4,mb,79,,,,us,usp000a6jz,2014-11-07T01:11:45.895Z,"Crete, Greece",earthquake,,,,13,reviewed,ath,us
2000-12-22T17:52:07.610Z,36.255,71.629,148.5,4.2,mb,12,,,1.41,us,usp000a6jj,2014-11-07T01:11:45.858Z,"Afghanistan-Tajikistan-Pakistan region",earthquake,,16.3,,2,reviewed,us,us
2000-12-22T10:13:01.110Z,44.79,147.196,140.4,6.2,mwb,528,,,0.81,us,usp000a6j0,2020-01-04T00:29:53.473Z,"Kuril Islands",earthquake,,,,,reviewed,us,us
2000-12-22T09:04:11.980Z,35.868,45.945,33,4.6,mb,21,,,1.24,us,usp000a6hu,2014-11-07T01:11:45.745Z,"Iran-Iraq border region",earthquake,,,,7,reviewed,us,us
2000-12-22T02:49:28.770Z,35.374,22.968,65.7,4.5,mb,57,,,1.13,us,usp000a6hk,2014-11-07T01:11:45.710Z,"central Mediterranean Sea",earthquake,,6.6,,13,reviewed,us,us
